,ID_tassonomia,codice_macro,descrizione_codice_macro,numero_codice_campo,descrizione_codice_campo,Frequenza nell'organizzazione,Frequenza della combinazione nell'intero dataset,Numero di organizzazioni che ne hanno fatto uso nel dataset
0,11630751,B,Misure economiche,4.0,Agevolazioni e contributi,7,17,2
1,11630751,B,Misure economiche,4.0,Agevolazioni e contributi,7,7,1
2,11630751,B,Misure economiche,4.0,Agevolazioni e contributi,7,6,2
3,11630751,B,Misure economiche,4.0,Agevolazioni e contributi,7,7,1
4,11630751,B,Misure economiche,4.0,Agevolazioni e contributi,7,2,1
5,11630751,B,Misure economiche,4.0,Agevolazioni e contributi,7,12,5
6,11630751,B,Misure economiche,4.0,Agevolazioni e contributi,7,805,157
7,11630762,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,4,4,1
8,11630762,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,4,30,9
9,11630762,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,4,675,139
10,11630762,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,4,76,16
11,11630762,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,4,2,1
12,11630762,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,4,226,43
13,11630812,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani,4,7,2
14,11630812,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani,4,221,36
15,11630812,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani,4,13,3
16,11630812,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani,4,7,1
17,11630812,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani,4,4,1
18,11630787,D,Comunitа educante,8.0,Formazione,4,334,60
19,11630787,D,Comunitа educante,8.0,Formazione,4,4,1
20,11630787,D,Comunitа educante,8.0,Formazione,4,7,1
21,11630787,D,Comunitа educante,8.0,Formazione,4,373,82
22,11630783,D,Comunitа educante,7.0,Ascolto,4,29,9
23,11630783,D,Comunitа educante,7.0,Ascolto,4,5,1
24,11630783,D,Comunitа educante,7.0,Ascolto,4,255,69
25,11630783,D,Comunitа educante,7.0,Ascolto,4,1,1
26,11630783,D,Comunitа educante,7.0,Ascolto,4,3,1
27,11630781,D,Comunitа educante,7.0,Ascolto,4,26,7
28,11630781,D,Comunitа educante,7.0,Ascolto,4,286,71
29,11630764,B,Misure economiche,5.0,Benefit e scontistica,4,10,2
30,11630764,B,Misure economiche,5.0,Benefit e scontistica,4,23,3
31,11630764,B,Misure economiche,5.0,Benefit e scontistica,4,922,168
32,11630764,B,Misure economiche,5.0,Benefit e scontistica,4,16,4
33,11630764,B,Misure economiche,5.0,Benefit e scontistica,4,1,1
34,11630764,B,Misure economiche,5.0,Benefit e scontistica,4,5,2
35,11630764,B,Misure economiche,5.0,Benefit e scontistica,4,27,9
36,11630764,B,Misure economiche,5.0,Benefit e scontistica,4,1,1
37,11630763,B,Misure economiche,5.0,Benefit e scontistica,4,20,5
38,11630763,B,Misure economiche,5.0,Benefit e scontistica,4,54,9
39,11630763,B,Misure economiche,5.0,Benefit e scontistica,4,9,2
40,11630763,B,Misure economiche,5.0,Benefit e scontistica,4,1,1
41,11630763,B,Misure economiche,5.0,Benefit e scontistica,4,405,86
42,11630825,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,4,667,133
43,11630825,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,4,3,2
44,11630746,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,4,2,1
45,11630746,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,4,189,49
46,11630746,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,4,14,2
47,11630746,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,4,11,2
48,11630745,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,4,4,1
49,11630745,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,4,10,2
50,11630745,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,4,8,2
51,11630745,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,4,2,1
52,11630745,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,4,212,54
53,11630730,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,4,52,12
54,11630730,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,4,3,1
55,11630730,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,4,11,1
56,11630730,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,4,14,2
57,11630724,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,4,137,37
58,11630724,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,4,21,6
59,11630770,C,Informazione e comunicazione,6.0,Comunicazione,3,4,2
60,11630770,C,Informazione e comunicazione,6.0,Comunicazione,3,5,1
61,11630770,C,Informazione e comunicazione,6.0,Comunicazione,3,8,3
62,11630770,C,Informazione e comunicazione,6.0,Comunicazione,3,1558,236
63,11630770,C,Informazione e comunicazione,6.0,Comunicazione,3,33,7
64,11630770,C,Informazione e comunicazione,6.0,Comunicazione,3,31,7
65,11630770,C,Informazione e comunicazione,6.0,Comunicazione,3,32,7
66,11630770,C,Informazione e comunicazione,6.0,Comunicazione,3,12,3
67,11630770,C,Informazione e comunicazione,6.0,Comunicazione,3,36,7
68,11630803,D,Comunitа educante,8.0,Formazione,3,36,6
69,11630803,D,Comunitа educante,8.0,Formazione,3,1,1
70,11630803,D,Comunitа educante,8.0,Formazione,3,72,21
71,11630722,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,3,4,1
72,11630722,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,3,2,2
73,11630722,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,3,76,24
74,11630722,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,3,13,3
75,11630713,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,3,604,135
76,11630713,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,3,5,2
77,11630714,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,1,2,1
78,11630714,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,1,281,61
79,11630735,C,Informazione e comunicazione,6.0,Comunicazione,1,9,4
80,11630735,C,Informazione e comunicazione,6.0,Comunicazione,1,3,1
81,11630735,C,Informazione e comunicazione,6.0,Comunicazione,1,17,7
82,11630735,C,Informazione e comunicazione,6.0,Comunicazione,1,3,1
83,11630735,C,Informazione e comunicazione,6.0,Comunicazione,1,12,5
84,11630735,C,Informazione e comunicazione,6.0,Comunicazione,1,320,88
85,11630735,C,Informazione e comunicazione,6.0,Comunicazione,1,10,2
86,11630727,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,1,5,1
87,11630727,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,1,45,6
88,11630727,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,1,6,1
89,11630727,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,1,144,29
90,11630727,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,1,4,2
91,11630796,D,Comunitа educante,8.0,Formazione,1,23,7
92,11630796,D,Comunitа educante,8.0,Formazione,1,8,3
